registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
,5R8 Linkwing Dropbed - Aus,2023,Hogans Heavy Haulage (Jason Hogan),MTE21/23,7A9MT13PAP1001021,7513,,"130,000kg",25760,Pacific Brakes,MTE Hydraulic Ball Type No. C-Sus059 REV.2,"C-Axl028 17.5"", 10ST, 225mmPCD, 761mm Track)",,,MTE425,HM218248/10,HM212049/11,46305,M-Dru016 No. 62556,No. 61120,"12.25 x 7.5""",,ABEX 4692DFC 64692,60799,60793/60794,20x MBA 24/24 No. 190251,Michelin X Multi 215/75 x 17.5,"WC Alloy 17.5” x 6.00”, 10 ST, 225mmPCD",Heavy Duty Pin Type C-Lan001 REV.3,50mm:MTE2DK1404  /   90mm: MTE2DK1405,Sliding Skid plate in 100mm increments No. C-Rub004 REV.3,,,"20x 15L Alloy No. 174015*3/4, 2x 8L Alloy No. 174008*3/4",,No. C-Ram041 REV.1,,,3300mm x 1050mm Single Ramps with Run-Flat ramp stays No. C-Ramp014 REV.7,No. C-Ram002 REV.5,No. C-Wid012 REV.1,No. C-Ram009 REV.5,No. C-Wing006 REV.0,No. C-Ram008 REV.8,Hydraulic Internal Gooseneck No. C-Nec003 REV.0,No. C-Ram010 REV.5,Kubota OC60-D1-QX Diesel Engine 6HP Electric Start No. 450068,
739J3,3R4 Widener (with top deck) - NZ ,2023,Rosco Contractors (Ross Moore),MTE22/23,7A9MT40PAP1001022,7556,,"40,000kg",10660,Pacific Brakes,Hydraulic Ball type C-Sus044 REV.1,C-Axl004 - 50342 Wheel end,,,MTE425,HM218248/10,HM212049/11,63101 - CR46305,MTE214,61119,12.25 x 7.5,,4692,61124B,"65002,65003","MBA 24/24, 190251",Synergy SP900 235/75R x 17.5 x 16PR,"WC Aluminium 17.5” x 6.75”, 10st, 225mm PCD",Rows of 4 Pin type Landing Legs. C-Lan007,"50mm MTE2DK1324, 90mm MTE3DK1325",,,,"2x 46L Alloy Air Tank, C-Ata019 (No. 174019),2x 24.5L Alloy Air Tank, C-Ata006 (No. 176006)",,,,,2400 x 860 LIGHTWEIGHT RAMPS (No. C-Ramp007 REV.10),Standard Ramp Ram (C-Ram007),,4x C-Ram001,,,,,N/A,
732D4,"4R4 Full Widener 17.5"" - NZ with command steer",2023,Balle Bros Group,MTE23/23,7A9MT50KBP1001023,7590,,"50,000kg",13620,Knorr-Bremse – EBS,Hydraulic Ball type C-Sus044 REV.1 (with accumulators) Specialised circuit,C-Axl004 - 50342 Wheel end,Custom Command Steer,Custom Command Steer,MTE425,HM218248/10,HM212049/11,63101 - CR46305,MTE214,61119,12.25 x 7.5,,4692,061123B,M-Sca021 (061441LH)(061442RH),"6x MBA 24/24, (190251), 2x MBA 24S  (No. 190256)",Synergy SP900 235/75R x 17.5 x 16PR,"WC Aluminium 17.5” x 6.75”, 10st, 225mm PCD",Rows of 4 Pin type Landing Legs. C-Lan007,50mm VSE Angle sensor Kingpin,Custom Oscillating,,,"2x 50L Alloy Air Tanks (C-Ata011) (170401), 2x 15L Alloy Air Tanks (C-Ata014) (No. 174015)",,,,,3300 x 1050 C-Ramp014 Rev.7,Standard Ramp Ram (C-Ram007),,4x C-Ram001,,,,,"Command Steer - Electric hydraulic pump mounted in passenger side tool box, Main - Kubota OC60-D1-QX Diesel Engine 6HP Electric Start (No. 450068)",
CANCELLED,6R8 Module Spineless Clip-on - Aust,,Burke Management,MTE24/23,7A9MT15,7592,,"150,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANCELLED,4R8 Module Spineless Clip-on - Aust,,Burke Management,MTE25/23,7A9MT10,7592,,"100,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANCELLED,2R8 Module Spineless Clip-on - Aust,,Burke Management,MTE26/23,7A9MT50,7592,,"50,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553S6,5A FTLL Widener - NZ,2023,PTS (Maskill),MTE27/23,7A9MT35KBP1001027,7601,,"35,000kg",8540,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,"6x MBA 24/24 Spring Brake Chamber (No. 190251), 4x MBA 24S Service Chamber (No. 190256)","Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",,,,50mm Tow Eye,TELESCOPIC DRAWBAR Weld-in Tow Eye (C-Dba-004REV.6 Custom Length),"3x 50L Alloy Air Tanks (C-Ata011) (170401), 2x 25L Alloy Air Tank, (C-Ata006) (176006)",,,JOST KLKDR4100010K  ( DK90/14 ) (PN770008),,2700 x 1000 Custom Ramps,Standard Ramp Ram (C-Ram007),,,,,,,Electric hydraulic pump mounted in passenger side tool box,
534T8,5A FTLL Widener - NZ,2023,PTS Logistics Ltd ,MTE28/23,7A9MT35KBP1001028,7602,,"35,000kg",8520,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,"6x MBA 24/24 Spring Brake Chamber (No. 190251), 4x MBA 24S Service Chamber (No. 190256)","Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",,,,50mm Tow Eye,TELESCOPIC DRAWBAR Weld-in Tow Eye (C-Dba-004REV.6 Custom Length),"3x 50L Alloy Air Tanks (C-Ata011) (170401), 2x 25L Alloy Air Tank, (C-Ata006) (176006)",,,JOST KLKDR4100010K  ( DK90/14 ) (PN770008),,2701 x 1000 Custom Ramps,Standard Ramp Ram (C-Ram007),,,,,,,Electric hydraulic pump mounted in passenger side tool box,
632L3,6A B-Train (3A Front Unit) - NZ,2023,PTS Logistics Ltd ,MTE29/23,7A9MT35KBP1001029,7603,,"35,000kg",6020,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,6x Spring Brake Chamber MBA 24/30 (No. 190252),"Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",,,,,,4x 50L Alloy Air Tanks (C-Ata011) (170401),,,,"Jost Semi Oscillating (JSKSLE03221AA), Height 173mm",,,,,,,,,,
632L4,6A B-Train (3A Rear Unit Deck Widening) - NZ,2023,PTS Logistics Ltd ,MTE30/23,7A9MT35KBP1001030,7603,,"35,000kg",9780,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,6x Spring Brake Chamber MBA 24/30 (No. 190252),"Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",,,,,,4x 50L Alloy Air Tanks (C-Ata011) (170401),,,,,2701 x 1000 Custom Ramps,Standard Ramp Ram (C-Ram007),,,,,,,Electric hydraulic pump mounted in passenger side tool box,
691U6,6A B-Train (3A Front Unit) - NZ,2023,PTS Logistics Ltd ,MTE31/23,7A9MT35KBP1001031,7612,,"35,000kg",5500,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,6x Spring Brake Chamber MBA 24/30 (No. 190252),"Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",,,,,,4x 50L Alloy Air Tanks (C-Ata011) (170401),,,,"Jost Semi Oscillating (JSKSLE03221AA), Height 173mm",,,,,,,,,,
691U5,6A B-Train (3A Rear Unit Deck Widening) - NZ,2023,PTS Logistics Ltd ,MTE32/23,7A9MT35KBP1001032,7612,,"35,000kg",5980,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,6x Spring Brake Chamber MBA 24/30 (No. 190252),"Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",,,,,,4x 50L Alloy Air Tanks (C-Ata011) (170401),,,,,2701 x 1000 Custom Ramps,Standard Ramp Ram (C-Ram007),,,,,,,Electric hydraulic pump mounted in passenger side tool box,
723L3,3R8 Linkwing - NZ (Fixed Neck),2023,Granity Holdings Ltd (Rowe Mtrs),MTE33/23,7A9MT85PAP1001033,7637,,"85,000kg",14300,Pacific Brakes,MTE Hydraulic Ball Type No. C-Sus011 REV.1,"MTW C-Axl002 REV.2 (End Stub) 17.5"" 10 Stud",,,MTE425,HM218248/10,HM212049/11,46305,MTE213,No. 61120,"12.25 x 5.5""",,4536DFC 64536,061123B,"4.75"" 65000/65001 ",12x MBA 24/24 No. 190251,"Synergy SP900 215/75R x 17.5"", 16PR","MTW 17.5"" x 6.00"", 10ST, 225mmPCD (No. 550043)",Heavy Duty Pin Type C-Lan001 REV.3,50mm: MTE2DK1317  /   90mm: MTE3DK1318,Fixed Two  Position,N/A,N/A,"4x 50L Alloy C-Ata011 No. 170401, 1x 8L Alloy C-Ata016 No. 174008",N/A,No. C-Ram041,N/A,N/A,Lightweight 2700mm x 900mm No. C-Ramp004 REV.12,No. C-Ram007 REV.7,C-Wid003 REV.5,C-Ram017 REV.5,C-Wing007 REV.0,C-Ram008 REV.8,N/A,N/A,Truck Hydraulics,
,3R8 Beam Dolly - Aus,2023,Stresscrete Heavy Haulage,MTE34/23,7A9MT60PAP1001034,7655,,"60,000kg",,"Pacific, Non-ABS Brakes",MTE Hydraulic Ball Type No. C-Sus059 REV.2,"MTW C-Axl028 (17.5”, 10 ST, 225mm PCD, 761mm Track (60828)",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),63101 - CR46305,M-Dru016 (62556),No. 61120,"12.25 x 7.5""",,ABEX 4692DFC 64692,60799,60793/60794,12x MBA 24/24 No. 190251,Michelin X Multi 215/75R x 17.5,"WC Alloy 17.5” x 6.00”, 10 ST, 225mmPCD",Heavy Duty Pin Type (No. C-Lan001 REV.3),"MTE Drop-in 50mm: MTE2DK1422, MTE Drop-in 90mm: MTE3DK1423",Oscillating Skid plate (No. C-Rub005 REV.1),,,"2x 8L Alloy C-Ata016 No. 174008, 12x 15L Alloy C-Ata014 No. 174015",,No. C-Ram041 REV.1,,,N/A,N/A,Custom,No. C-Ram072 REV.0 (No. 410083),Custom Swing Wide,N/A,Custom Swing Wide,,Kubota OC60-D1-QX Diesel Engine 5.5HP Electric Start (No. 450068),
,3R8 Beam Dolly - Aus,2023,Stresscrete Heavy Haulage,MTE35/23,7A9MT60PAP1001035,7656,,"60,000kg",,"Pacific, Non-ABS Brakes",MTE Hydraulic Ball Type No. C-Sus059 REV.2,"MTW C-Axl028 (17.5”, 10 ST, 225mm PCD, 761mm Track (60828)",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),63101 - CR46305,M-Dru016 (62556),No. 61120,"12.25 x 7.5""",,ABEX 4692DFC 64692,60799,60793/60794,12x MBA 24/24 No. 190251,Michelin X Multi 215/75R x 17.5,"WC Alloy 17.5” x 6.00”, 10 ST, 225mmPCD",Heavy Duty Pin Type (No. C-Lan001 REV.3),"MTE Drop-in 50mm: MTE2DK1422, MTE Drop-in 90mm: MTE3DK1423",Oscillating Skid plate (No. C-Rub005 REV.1),,,"2x 8L Alloy C-Ata016 No. 174008, 12x 15L Alloy C-Ata014 No. 174015",,No. C-Ram041 REV.1,,,N/A,N/A,Custom,No. C-Ram072 REV.0 (No. 410083),Custom Swing Wide,N/A,Custom Swing Wide,,Kubota OC60-D1-QX Diesel Engine 5.5HP Electric Start (No. 450068),
,5R8 Linkwing Dropbed - Aus,2023,ECS Project Logistics,MTE36/23,7A9MT13PAP1001036,7657,,"130,000kg",,,,,,,,,,,,No. 61120,,,ABEX 4692DFC 64692,63003,60027/62029,,,,,,,,,,,,,,,,,,,,,,,
,5R8 Linkwing Dropbed - Aus,2023,Burke Management (John Burke),MTE37/23,7A9MT13PAP1001037,7658,,"130,000kg",20020,Pacific Brakes - Non EBS,MTE Hydraulic Ball Type No. C-Sus059 REV.2,"C-Axl028 17.5"", 10ST, 225mmPCD, 761mm Track)",,,MTE425,HM218248/10,HM212049/11,63101 - CR46305,M-Dru016 No. 62556,No. 61120,"12.25 x 7.5""",,ABEX 4692DFC 64692,63003,"M-Sca027 (60027-LH, 62027-RH)",20x MBA 24/24 No. 190251,"Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 ST, 225mmPCD",Heavy Duty Pin Type C-Lan001 REV.3,50mm: MTE2DK1480 /   90mm: MTE3DK1481,Sliding Skid plate in 100mm increments No. C-Rub004 REV.3,,,"20x 15L Alloy No. 174015*3/4, 2x 8L Alloy No. 174008*3/4",,No. C-Ram041 REV.1,,,3300mm x 1050mm Single Ramps with Run-Flat ramp stays No. C-Ramp014 REV.7,No. C-Ram002 REV.5,No. C-Wid012 REV.1,No. C-Ram009 REV.5,No. C-Wing006 REV.0,No. C-Ram008 REV.8,Hydraulic Internal Gooseneck No. C-Nec003 REV.0,No. C-Ram010 REV.5,Kubota OC60-D1-QX Diesel Engine 6HP Electric Start No. 450068,
-,5R8 Linkwing Extendable - Aus,2023,Cairns Heavy Haulage (Abbey Dean/ Abdul Hameed Mohammed),MTE38/23,7A9MT13PAP1001038,7692,,"130,000kg",,Pacific Brakes,MTE Hydraulic Ball Type No. C-Sus059 REV.2,"MTW No. C-Axl028 17.5"", 10ST, 225mmPCD, 761mm Track)",,,MTE425,HM218248/10,HM212049/11,63101 - CR46305,M-Dru016 No. 62556,No. 61120,"12.25 x 7.5""",,ABEX 4692DFC 64692,60799,60793/60794,20x MBA 24/24 No. 190251,"Synergy SP900 215 x 17.5"" x 16PR","WC Alloy 17.5” x 6.00”, 10 ST, 225mmPCD",Hydraulic Landing Leg No. C-Lan006 REV.1,"MTE Drop-in 50mm: MTE2DK1358, MTE Drop-in 90mm: MTE3DK1359",Sliding Skid plate in 100mm increments No. C-Rub004 REV.3,,,"20x 15L Alloy No. 174015*3/4, 2x 8L Alloy No. 174008*3/4",,No. C-Ram041 REV.1,,,3300mm x 1050mm Single Ramps with Run-Flat ramp stays No. C-Ramp014 REV.7,No. C-Ram002 REV.5,No. C-Wid012 REV.1,No. C-Ram009 REV.5,No. C-Wing006 REV.0,No. C-Ram008 REV.8,Hydraulic Internal Gooseneck No. C-Nec003 REV.0,No. C-Ram010 REV.6,Kubota OC60-D1-QX Diesel Engine 6HP Electric Start No. 450068,
739K7,4A Semi Low Loader 2.8w,2023,Satherley Transport Ltd,MTE39/23,7A9MT50KBP1001039,7701,,"50,000kg",11040,Knorr-Bremse – EBS,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTE425,HM218248/10,HM212049/11,63101 - CR46305,MTE214,61119,12.25 x 7.5,,4692,61124B,"65002,65003",6x Spring Brake Chamber MBA 24/30 (No. 190252),Synergy SP900 235/75R x 17.5 x 16PR,"WC Aluminium 17.5” x 6.75”, 10st, 225mm PCD",Full Weight Wind-up No. C-Lan009,50mm: MTE2DK1326  /   90mm: MTE2DK1326,,,,"2x 50L Alloy Air Tanks (C-Ata011) (170401), 3x 25L Alloy Air Tank, (C-Ata006) (176006)",,,,,Heavy Duty – 2700mm x 900mm No. C-Ramp004 REV.12,No. C-Ram007 REV.7,,,,,,,Kubota 6HP OC60-D1-QX Diesel Engine Electric Start (No. 450068),
768R2,4A Semi Low Loader 2.8w,2023,Satherley Transport Ltd,MTE40/23,7A9MT50KBP1001040,7702,,"50,000kg",10940,Knorr-Bremse – EBS,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTE425,HM218248/10,HM212049/11,63101 - CR46305,MTE214,61119,12.25 x 7.5,,4692,61124B,"65002,65003",6x Spring Brake Chamber MBA 24/30 (No. 190252),Synergy SP900 235/75R x 17.5 x 16PR,"WC Aluminium 17.5” x 6.75”, 10st, 225mm PCD",Full Weight Wind-up No. C-Lan009,50mm: MTE2DK1335,,,,"2x 50L Alloy Air Tanks (C-Ata011) (170401), 3x 25L Alloy Air Tank, (C-Ata006) (176006)",,,,,Heavy Duty – 2700mm x 900mm No. C-Ramp004 REV.12,No. C-Ram007 REV.7,,,,,,,Kubota 6HP OC60-D1-QX Diesel Engine Electric Start (No. 450068),
780A4,4A Semi Low Loader 2.8w,2023,Dean Earthmoving,MTE41/23,7A9MT50KBP1001041,7703,,"50,000kg",10800,Knorr-Bremse – EBS,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTE425,HM218248/10,HM212049/11,63101 - CR46305,MTE214,61119,12.25 x 7.5,,4692,61124B,"65002,65003",6x Spring Brake Chamber MBA 24/30 (No. 190252),Synergy SP900 235/75R x 17.5 x 16PR,"WC Aluminium 17.5” x 6.75”, 10st, 225mm PCD",Full Weight Wind-up No. C-Lan009,50mm: MTE2DK1335,,,,"2x 50L Alloy Air Tanks (C-Ata011) (170401), 3x 25L Alloy Air Tank, (C-Ata006) (176006)",,,,,Heavy Duty – 2700mm x 900mm No. C-Ramp004 REV.12,No. C-Ram007 REV.7,,,,,,,Kubota 6HP OC60-D1-QX Diesel Engine Electric Start (No. 450068),
748B8,6A B-Train (3A Front Unit) - NZ,2023,Al-Tranz,MTE42/23,7A9MT35KBP1001042,7700,,"35,000kg",5680,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,6x Spring Brake Chamber MBA 24/30 (No. 190252),Michelin X Multi 215/75 x 17.5,"WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",Front Unit: Holland Wind-up Landing Leg,50mm Bolt up King Pin – 12mm retention plate (770901),Jost Semi Oscillating 5th Wheel JSKSLE03221AA,,,4x 50L Alloy Air Tanks (C-Ata011) (170401),,,,,,,,,,,,,,
748B9,6A B-Train (3A Rear Unit Deck Widening) - NZ,2023,Al-Tranz,MTE43/23,7A9MT35KBP1001043,7700,,"35,000kg",6860,Knorr-Bremse – EBS,K-Hitch KT250U165RH Air Suspension,"WC Alloy 17.5” x 6”, 225mm-PCD, 10 Stud",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),Hub Seal (63101),MTE214,,12.25” x 7.5”,,4692DFC Q/Q,,,6x Spring Brake Chamber MBA 24/30 (No. 190252),Michelin X Multi,"WC Alloy 17.5” x 6.00”, 10 Stud, 225PCD",Rear Unit: C-Lan009 (10090) Landing Leg,50mm Bolt up King Pin – 12mm retention plate (770901),,,,4x 50L Alloy Air Tanks (C-Ata011) (170401),,,,,Custom Ramps 6ABT-7700 Al-Tranz,Standard Ramp Ram (C-Ram007),,,,,,,Electric hydraulic pump mounted in passenger side tool box,
6AB67,3R8 Linkwing - NZ (Lightweight),2023,Equipment And Transport Leasing,MTE44/23,7A9MT60PAP1001044,7722,,"60,000kg",11580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3R8 Linkwing - NZ (Lightweight),2023,Equipment And Transport Leasing,MTE45/23,7A9MT60PAP1001045,7723,,"60,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3R8 Linkwing - NZ (Lightweight),2023,,MTE46/23,7A9MT60PAP1001046,7724,,"60,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3R8 Linkwing - NZ (Lightweight),2023,,MTE47/23,7A9MT60PAP1001047,7725,,"60,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5R8 Linkwing Dropbed Extendable - Aus,2023,Heavy Haulage Assets,MTE48/23,7A9MT13PAP1001048,7730,,"130,000kg",,"Pacific, Non-ABS Brakes",C-Sus059,C-Axl028,,,MTE425,HM218248/10  (62600),HM212049/11 (62601),63101 - CR46305,M-Dru016 (62556),61120,12.5 x 7.5”,,ABEX 4692DFC 64692,60799,60793/60794,10x MBA 24/24 No. 190251,Michelin X Multi,"WC  Alloy Wheels, 17.5 x 6.00”, 10st, 225mmPCD",Heavy Duty Pin Type No. C-Lan001 REV.4,"MTE Drop-in 50mm MTE2DK1332, MTE Drop-in 90mm MTE3DK1333",C-Rub004,,,20x 15L Alloy C-Ata014,,C-Ram014,,,C-Ramp014 with layflat,C-Ram002,C-Wid012 REV.5,C-Ram009 REV.5,C-Wing006 REV.1,C-Ram008 REV.8,C-Nec003 REV.3,C-Ram010 REV.6,Kubota OC60-D1-QX Diesel Engine 5.5HP Electric Start (No. 450068),
,5R8 Linkwing Dropbed Extendable - Aus,2023,Whites Transport,MTE49/23,7A9MT13PAP1001049,7731,,"130,000kg",,"Pacific, Non-ABS Brakes",C-Sus059,C-Axl028,,,MTE425,HM218248/10  (62600),HM212049/11 (62601),63101 - CR46305,M-Dru016 (62556),61120,12.5 x 7.5”,,ABEX 4692DFC 64692,60799,60793/60794,10x MBA 24/24 No. 190251,Michelin X Multi,"WC  Alloy Wheels, 17.5 x 6.00”, 10st, 225mmPCD",Heavy Duty Pin Type No. C-Lan001 REV.4,"MTE Drop-in 50mm MTE2DK1332, MTE Drop-in 90mm MTE3DK1333",C-Rub004,,,20x 15L Alloy C-Ata014,,C-Ram014,,,C-Ramp014 with layflat,C-Ram002,C-Wid012 REV.5,C-Ram009 REV.5,C-Wing006 REV.1,C-Ram008 REV.8,C-Nec003 REV.3,C-Ram010 REV.6,Kubota OC60-D1-QX Diesel Engine 5.5HP Electric Start (No. 450068),
,4R8 Jinker - Aus,2023,Goldsprings Heavy Haulage (Mark),MTE50/23,7A9MT67KBP1001050,7739,,"67,500kg",,Knorr EBS,MTE Beam Suspension No. C-Sus055,"MTW C-Axl028 (17.5”, 10 Stud, 225mm PCD, 761mm Track with Outboard Drums)",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),63101 - CR46305,M-Dru016 (No. 62556),No. 61120,12.25 x 7.5”,,4692DFC Abex 6008 (No. 064692),61124B,"65002,65003",8x MBA 30/30 No. 190253,"Synergy SP900 215 x 17.5"" x 16PR","WC  Alloy Wheels, 17.5 x 6.00”, 10st, 225mmPCD",,,,50mm weld-in,4R8 Jinker Drawbar with hydraulic lift. No. C-Dba009 REV.1,3x 50L Alloy C-Ata011 No. 170401,,,Turntable SRSR1100 (No. 770147) Double Ball race for 90 Degree Steering (2X No. 770156),,,,C-Wid011 Rev.3,C-Ram015 REV.7,,,,,"9.5HP Diesel Power pack, Kubota OC95DIQ Electric Start. No. 450061",
,4R8 Jinker - Aus,2023,Goldsprings Heavy Haulage (Mark),MTE51/23,7A9MT67KBP1001051,7740,,"67,500kg",,Knorr EBS,MTE Beam Suspension No. C-Sus055,"MTW C-Axl028 (17.5”, 10 Stud, 225mm PCD, 761mm Track with Outboard Drums)",,,MTE425,HM218248/10  (62600),HM212049/11 (62601),63101 - CR46305,M-Dru016 (No. 62556),No. 61120,12.25 x 7.5”,,4692DFC Abex 6008 (No. 064692),61124B,"65002,65003",8x MBA 30/30 No. 190253,"Synergy SP900 215 x 17.5"" x 16PR","WC  Alloy Wheels, 17.5 x 6.00”, 10st, 225mmPCD",,,,50mm weld-in,4R8 Jinker Drawbar with hydraulic lift. No. C-Dba009 REV.1,3x 50L Alloy C-Ata011 No. 170401,,,Turntable SRSR1100 (No. 770147) Double Ball race for 90 Degree Steering (2X No. 770156),,,,C-Wid011 Rev.3,C-Ram015 REV.7,,,,,"9.5HP Diesel Power pack, Kubota OC95DIQ Electric Start. No. 450061",
819H9,4A Semi Low Loader 2.8w,2023,Downer Hamilton,MTE52/23,7A9MT50KBP1001052,7780,,"50,000kg",10700,Knorr-Bremse – EBS,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTW Underslung Air Suspension No. C-Sus036 (PN.730600),C-Axl006 PN.050350 - 3x 84'' Axle Fixed,MTE425,HM218248/10,HM212049/11,63101 - CR46305,MTE214,61119,12.25 x 7.5,,4692,61124B,"65002,65003",6x Spring Brake Chamber MBA 24/30 (No. 190252),Synergy SP900 235/75R x 17.5 x 16PR,"WC Aluminium 17.5” x 6.75”, 10st, 225mm PCD",Full Weight Wind-up No. C-Lan009,50mm: MTE2DK1398 90mm:MTE3DK1399,,,,"2x 50L Alloy Air Tanks (C-Ata011) (170401), 3x 25L Alloy Air Tank, (C-Ata006) (176006)",,,,,Heavy Duty – 2700mm x 900mm No. C-Ramp004 REV.12,No. C-Ram007 REV.7,,,,,,,Kubota 6HP OC60-D1-QX Diesel Engine Electric Start (No. 450068),
