registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
,2 Axle Semi Tilt Deck (Beam Susp),76,Modern Transport Engineers,MTE12/76,3RT2A26,,,"22,000kg","4,200kg",RE6 Bendix,"Walking Beam 48""","15"" Ruber Owen Rockwell Spoked  MTE imported ex Aust ",,,3 Spoke,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,"23"" C/C",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Axle Trombone Self Steer 32-52',77,Pearce Transport,MTE1/77,TUDX51,,,"22,000kg",,PBR ,Dayton (now Dana),"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,,,,HE12 & HE5,,,,,,,,,Sold through John Barrett,
,2 axle pig tilt deck                                     (1st Pig Tilt Deck),77,N.Z. Electricity Department,MTE2/77,2R2A18,,,,,RE6 Bendix,"Walking Beam 48""","15"" Ruber Owen Rockwell",,,,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,,825 x 15 x 14ply,15 x 6.5 ,,,,40mm,,,,,,,,,,,,,,,Could Have ten stud or Spoked axles?,
,3R4 Semi Lowloader (Mechanical Susp),77,N.Z. Electricity Department,MTE3/77,3MT3A25,,,"20,000kg","4,800kg",RE6 Bendix,Compensating Beam,"15"" Moss Ten Stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
 ,3R4 Semi Lowloader (Mechanical Susp),77,Advance Transport,MTE4/77,11RC3A25,,,"30,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,Ten Stud,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,2 Axle Semi Tilt Deck (Beam Susp),77,Reliable Roads,MTE5/77,4MT2A26,,, ,,RE6 Bendix,"Walking Beam 48""","15"" Moss Ten Stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,"23"" C/C",,,,,,,,,,,,2 trailers were made same with corners cut away on top deck,
,2 Axle Semi Tilt Deck (Beam Susp),77,Reliable Roads,MTE6/77,3MT2A26,,, ,,RE6 Bendix,"Walking Beam 48""","15"" Moss Ten Stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,"23"" C/C",,,,,,,,,,,,2 trailers were made same with corners cut away on top deck,
,2 Axle  42'  Semi Flat Top Self Steer,77,Storage And Export,MTE7/77,3RSSF42,,,,,PBR ,Dayton (now Dana),"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,900 x 20,20 x 6.5,,"2""",,,,MTE Made,,,,HE12 & HE5,,,,,,,,,12 twist locks and sea freighter cones fitted,
,"2 Axle 24' 0"" Semi Ribbed Tipper",77,J.B.Richardson (Ben),MTE8/77,MDHT22,,,"20,000lb", ,PBR ,Dayton (now Dana),"20"" Moss",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,,2nd Ribbed tipper made,
